name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"Freya | Best Ladies Beauty, Hair & Nail Salon Dubai JVC | 10% Off | Женская красота, парикмахерская и маникюрный салон",Park View Tower - Lazuward SW - Jumeirah Village - Dubai - United Arab Emirates,freyadubai.com,+971 52 195 6629,948,4.8,25.0544288,54.9146584
Ginza Beauty Al Barsha,Beside Al Barsha Pond Park - 23rd St - Al BarshaAl Barsha 2 - Dubai Beside Al Barsha Pond Park - 23rd St - البرشاءالبرشاء 2 - Dubai - United Arab Emirates,ginzabeauty.net,+971 4 340 7171,273,4.9,25.0544288,54.9146584
Just One Beauty Salon,Dubai Marina Damac the Waves Tower B shop 09 - Dubai - United Arab Emirates,,+971 58 508 0114,181,4.9,25.0544288,54.9146584
We Nails Beauty Salon,Trident Grand Residence - G012 - Jumeirah Beach Residence - Dubai - United Arab Emirates,wenails.ae,+971 50 507 7501,335,4.6,25.0544288,54.9146584
Paulista Beauty Salon,"Al Habtoor Residence Tower, 4th Floor, Marina Walk - Dubai Marina - Dubai - United Arab Emirates",paulistaladiessalon.com,+971 55 399 0010,419,4.9,25.0544288,54.9146584
Eyelash Secret Ladies Salon - Silicon Oasis,Radisson Blu Residence - Dubai Silicon Oasis - Industrial Area - Dubai - United Arab Emirates,eyelashsecretdubai.com,+971 58 880 2152,820,4.9,25.1243908,55.0893647
Rubaab Ladies Beauty Salon,"Next to Sharaf DG Metro Station Exit 3-Al Yousuf Complex-1st Floor, Shop No.104 & 102 - Bur Dubai - Al Fahidi - Dubai - United Arab Emirates",instagram.com,+971 54 372 7666,1076,4.9,25.1243908,55.0893647
"Elata Beauty Salon - Jumeirah 3, Dubai",Sunset Mall Ground Floor - G18 - Jumeirah Beach Rd - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,elata.ae,+971 4 380 6950,1556,4.7,25.1842966,54.9376604
Gladys Beauty Saloon - Marina,Marina Diamond 5 - Dubai Marina - Dubai - United Arab Emirates,gladyssaloon.com,+971 4 447 6663,324,4.7,25.1842966,54.9376604
Beauty Loft Salon,Dubai Science Park - Al Barsha - Al Barsha South - Dubai - United Arab Emirates,beautyloftdubai.com,+971 58 101 8604,191,4.5,25.1842966,54.9376604
