name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Optimum Wellness Center,"Gazi, 1313. Sk. No:23, 33110 Yenişehir/Mersin",optimumwellness.center,0501 108 49 33,52,4.1,36.7979723,34.4882601
Turuncu beauty center,"İnönü, 1404. Sk., 33200 Yenişehir/Mersin",instagram.com,0530 212 36 90,16,5.0,36.7979723,34.4882601
Veronica Beauty Center,"Fatih Mah GMK Bv 30016 Sok Dilara Apt No 2 Dükkan No 22 - 23 Mersin Mezitl, 33200 Mezitli/Mersin",veronicabeautycenter.com,0539 339 57 80,78,4.9,36.7611016,34.4041244
Selin Beauty Center Mersin,"Sayapark ilerisi, Akkent Mahallesi 34. Cadde, Gökkuşağı yanı Onuk Apt No:36/B, 33150 Yenişehir/Mersin",,0534 575 88 89,97,4.8,36.7611016,34.4041244
Beautıgıl Beauty Center,"OMORFO RESİDENCE, EĞRİÇAM MAH. GMK BUL, 2237. Sk. 1-2 NO: 1, 33070 Yenişehir/Mersin",,0552 441 13 33,25,4.8,36.7611016,34.4041244
Berfin Yaşartı Beauty Center,"Yeni, OFİSİUM İŞ MERKEZİ, Gazi Mustafa Kemal Blv. No:665 Kat:5, 33330 Mezitli/Mersin",,,4,5.0,36.7611016,34.4041244
ZH Beauty Center Pozcu Güzellik Merkezi,"Bahçelievler, Gazi Mustafa Kemal Blv. Zümrüt Sitesi No:316 Kat:2/3, 33140 Yenişehir/Mersin",zhbeauty.com.tr,0553 277 86 25,11,5.0,36.7611016,34.4041244
Gonul yilmaz beauty center,"Merkez mah 52136 sokak 6/A iç kapi no 16 mezitli, 33100 MEZITĹİ/Mersin",,0543 490 62 33,39,4.9,36.7611016,34.4041244
Merices Beauty Center,"Çiftlikköy, 3216. Sk. No:14, 33110 Yenişehir/Mersin",,0538 279 34 30,1,5.0,36.7611016,34.4041244
Elda Kaya Güzellik Merkezi- Beauty Center,"Kültür, Atatürk Cd. Mersin Apartmanı Kat:1 No:3, 33010 Akdeniz/Mersin",,0543 377 98 13,65,4.9,36.7910833,34.4785822
Bahar Beauty Center,"Palmiye mahallesi 1209 sokak Itır Hanım Apt, No: 5 B, 33110 Yenişehir/Mersin",,0534 294 80 49,2,5.0,36.7910833,34.4785822
